PrePost,Type,u,p
pre_Norm_post_Norm : pre_High_post_Low,WEEK3_A1_CONTROL : WEEK3_A1_CONTROL,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,WEEK3_A1_SUCCESS_COPING : WEEK3_A1_SUCCESS_COPING,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,WEEK3_A2_STRESS : WEEK3_A2_STRESS,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,WEEK3_A2_CONTROL : WEEK3_A2_CONTROL,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,WEEK3_A2_SUCCESS_COPING : WEEK3_A2_SUCCESS_COPING,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,WEEK3_E_STRESS : WEEK3_E_STRESS,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,WEEK3_E_CONTROL : WEEK3_E_CONTROL,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,WEEK3_E_SUCCESS_COPING : WEEK3_E_SUCCESS_COPING,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D1_W3_Stress : D1_W3_Stress,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D2_W3_Stress : D2_W3_Stress,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D3_W3_Stress : D3_W3_Stress,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D4_W3_Stress : D4_W3_Stress,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D5_W3_Stress : D5_W3_Stress,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D6_W3_Stress : D6_W3_Stress,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D7_W3_Stress : D7_W3_Stress,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,WEEK3_STRESS : WEEK3_STRESS,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D1_W3_GaveSupport : D1_W3_GaveSupport,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D2_W3_GaveSupport : D2_W3_GaveSupport,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D3_W3_GaveSupport : D3_W3_GaveSupport,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D4_W3_GaveSupport : D4_W3_GaveSupport,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D5_W3_GaveSupport : D5_W3_GaveSupport,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D6_W3_GaveSupport : D6_W3_GaveSupport,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D7_W3_GaveSupport : D7_W3_GaveSupport,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D1_W3_ReceivedSupport : D1_W3_ReceivedSupport,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D2_W3_ReceivedSupport : D2_W3_ReceivedSupport,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D3_W3_ReceivedSupport : D3_W3_ReceivedSupport,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D4_W3_ReceivedSupport : D4_W3_ReceivedSupport,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D5_W3_ReceivedSupport : D5_W3_ReceivedSupport,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D6_W3_ReceivedSupport : D6_W3_ReceivedSupport,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,D7_W3_ReceivedSupport : D7_W3_ReceivedSupport,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,WEEK3_GaveSupport : WEEK3_GaveSupport,0.0,0.0
pre_Norm_post_Norm : pre_High_post_Low,WEEK3_ReceivedSupport : WEEK3_ReceivedSupport,0.0,0.0
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_EMA_EVENING : WEEK1_EMA_EVENING,,
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_PRODUCTIVE : WEEK1_PRODUCTIVE,15.0,0.4294884617174285
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_BELONGING : WEEK1_BELONGING,20.5,1.0
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_DISCRIMINATION : WEEK1_DISCRIMINATION,23.5,0.6962703401140228
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_EMO_DRAINED : WEEK1_EMO_DRAINED,25.5,0.562841087681925
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_TALKSTRESS : WEEK1_TALKSTRESS,10.0,0.13254585342192138
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_LITTLESLEEP : WEEK1_LITTLESLEEP,15.5,0.4744429004370553
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_PROFCARES : WEEK1_PROFCARES,18.5,0.7744933061125463
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_HOMESICK : WEEK1_HOMESICK,21.5,1.0
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_EXERCISE : WEEK1_EXERCISE,24.0,0.7195041960117442
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_EMA_MORNING : WEEK1_EMA_MORNING,,
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_ACTIVITY_ACADEMIC : WEEK1_ACTIVITY_ACADEMIC,19.5,0.8803758287932874
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_ACADEMIC_percentage : WEEK1_ACADEMIC_percentage,18.5,0.7634254713048785
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_ACTIVITY_PERSONAL : WEEK1_ACTIVITY_PERSONAL,10.0,0.10072167800353861
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_PERSONAL_percentage : WEEK1_PERSONAL_percentage,11.0,0.13753203860901644
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_TIRED_AM : WEEK1_TIRED_AM,19.0,0.830094265465244
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_DRINK : WEEK1_DRINK,23.5,0.6962703401140228
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_DRUGS : WEEK1_DRUGS,,
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_drinkdrugs_alone : WEEK1_drinkdrugs_alone,,
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_negative_cons : WEEK1_negative_cons,,
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_SLEEP : WEEK1_SLEEP,,
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_HrsBed_Avg : WEEK1_HrsBed_Avg,25.5,0.5671762440874444
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_HrsAsleep_Avg : WEEK1_HrsAsleep_Avg,24.5,0.6678058142504256
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_HrsBed_Weekday_Avg : WEEK1_HrsBed_Weekday_Avg,25.0,0.6170750774519738
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_HrsAsleep_Weekday_Avg : WEEK1_HrsAsleep_Weekday_Avg,26.0,0.5203168005073666
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_HrsBed_Weekend_Avg : WEEK1_HrsBed_Weekend_Avg,14.0,0.35311123450600557
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_HrsAsleep_Weekend_Avg : WEEK1_HrsAsleep_Weekend_Avg,14.5,0.39071430776538896
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_TODAY_STRESSFUL : WEEK1_TODAY_STRESSFUL,12.5,0.2524452516545861
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_M_STRESS : WEEK1_M_STRESS,10.5,0.1519972540307419
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_M_CONTROL : WEEK1_M_CONTROL,11.0,0.17235939896143682
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_A1_STRESS : WEEK1_A1_STRESS,10.0,0.13308040166544383
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_A1_CONTROL : WEEK1_A1_CONTROL,0.0,0.0033177804297876193
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_A1_SUCCESS_COPING : WEEK1_A1_SUCCESS_COPING,20.0,0.9427417336673175
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_A2_STRESS : WEEK1_A2_STRESS,6.5,0.04402219504167009
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_A2_CONTROL : WEEK1_A2_CONTROL,3.5,0.014195992631371494
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_A2_SUCCESS_COPING : WEEK1_A2_SUCCESS_COPING,23.5,0.7747957407506022
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_E_STRESS : WEEK1_E_STRESS,12.5,0.2524452516545861
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_E_CONTROL : WEEK1_E_CONTROL,11.5,0.1966878881501255
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_E_SUCCESS_COPING : WEEK1_E_SUCCESS_COPING,21.5,1.0
pre_Norm_post_High : pre_Norm_post_Low,D1_W1_Stress : D1_W1_Stress,13.5,0.31125282829858714
pre_Norm_post_High : pre_Norm_post_Low,D2_W1_Stress : D2_W1_Stress,15.5,0.459866948010459
pre_Norm_post_High : pre_Norm_post_Low,D3_W1_Stress : D3_W1_Stress,17.0,0.6141401394114379
pre_Norm_post_High : pre_Norm_post_Low,D4_W1_Stress : D4_W1_Stress,9.5,0.10548622575160241
pre_Norm_post_High : pre_Norm_post_Low,D5_W1_Stress : D5_W1_Stress,3.0,0.010900409303408272
pre_Norm_post_High : pre_Norm_post_Low,D6_W1_Stress : D6_W1_Stress,9.5,0.11407604196664867
pre_Norm_post_High : pre_Norm_post_Low,D7_W1_Stress : D7_W1_Stress,6.5,0.043727859914373765
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_STRESS : WEEK1_STRESS,9.0,0.10041249398610284
pre_Norm_post_High : pre_Norm_post_Low,D1_W1_GaveSupport : D1_W1_GaveSupport,0.0,0.003361339474765026
pre_Norm_post_High : pre_Norm_post_Low,D2_W1_GaveSupport : D2_W1_GaveSupport,18.5,0.7564840209629904
pre_Norm_post_High : pre_Norm_post_Low,D3_W1_GaveSupport : D3_W1_GaveSupport,21.0,0.9359970601826555
pre_Norm_post_High : pre_Norm_post_Low,D4_W1_GaveSupport : D4_W1_GaveSupport,13.0,0.25241330499602244
pre_Norm_post_High : pre_Norm_post_Low,D5_W1_GaveSupport : D5_W1_GaveSupport,18.0,0.6783777911837441
pre_Norm_post_High : pre_Norm_post_Low,D6_W1_GaveSupport : D6_W1_GaveSupport,20.0,0.9396502492637281
pre_Norm_post_High : pre_Norm_post_Low,D7_W1_GaveSupport : D7_W1_GaveSupport,26.0,0.4314014169471778
pre_Norm_post_High : pre_Norm_post_Low,D1_W1_ReceivedSupport : D1_W1_ReceivedSupport,0.0,0.003361339474765026
pre_Norm_post_High : pre_Norm_post_Low,D2_W1_ReceivedSupport : D2_W1_ReceivedSupport,18.0,0.6816991005447003
pre_Norm_post_High : pre_Norm_post_Low,D3_W1_ReceivedSupport : D3_W1_ReceivedSupport,18.0,0.6783777911837441
pre_Norm_post_High : pre_Norm_post_Low,D4_W1_ReceivedSupport : D4_W1_ReceivedSupport,13.0,0.25241330499602244
pre_Norm_post_High : pre_Norm_post_Low,D5_W1_ReceivedSupport : D5_W1_ReceivedSupport,24.0,0.6282160233223721
pre_Norm_post_High : pre_Norm_post_Low,D6_W1_ReceivedSupport : D6_W1_ReceivedSupport,20.0,0.9396502492637281
pre_Norm_post_High : pre_Norm_post_Low,D7_W1_ReceivedSupport : D7_W1_ReceivedSupport,23.5,0.7428235581680842
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_GaveSupport : WEEK1_GaveSupport,19.0,0.8265281660998888
pre_Norm_post_High : pre_Norm_post_Low,WEEK1_ReceivedSupport : WEEK1_ReceivedSupport,19.0,0.8265281660998888
pre_Norm_post_High : pre_Norm_post_Low,WEEK2 : WEEK2,,
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_PRODUCTIVE : WEEK2_PRODUCTIVE,13.0,0.28397677175091174
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_BELONGING : WEEK2_BELONGING,16.0,0.5197427420397585
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_DISCRIMINATION : WEEK2_DISCRIMINATION,27.0,0.20999967175560952
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_EMO_DRAINED : WEEK2_EMO_DRAINED,13.5,0.31664483874485594
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_TALKSTRESS : WEEK2_TALKSTRESS,11.5,0.1979256344845216
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_LITTLESLEEP : WEEK2_LITTLESLEEP,16.5,0.5671762440874444
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_PROFCARES : WEEK2_PROFCARES,26.5,0.47383319059283024
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_HOMESICK : WEEK2_HOMESICK,17.0,0.6070216067106333
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_EXERCISE : WEEK2_EXERCISE,7.5,0.062203336674775296
pre_Norm_post_High : pre_Norm_post_Low,WEEK_2_EMA_MORNING : WEEK_2_EMA_MORNING,,
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_ACTIVITY_ACADEMIC : WEEK2_ACTIVITY_ACADEMIC,16.0,0.46277669869370286
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_ACADEMIC_percentage : WEEK2_ACADEMIC_percentage,17.0,0.5679261233582951
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_ACTIVITY_PERSONAL : WEEK2_ACTIVITY_PERSONAL,22.5,0.868258377746729
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_PERSONAL_percentage : WEEK2_PERSONAL_percentage,22.5,0.868258377746729
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_TIRED_AM : WEEK2_TIRED_AM,30.5,0.1979256344845216
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_DRINK : WEEK2_DRINK,30.0,0.1585678849420168
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_DRUGS : WEEK2_DRUGS,,
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_drinkdrugs_alone : WEEK2_drinkdrugs_alone,,
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_negative_cons : WEEK2_negative_cons,27.0,0.20999967175560952
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_SLEEP : WEEK2_SLEEP,,
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_HrsBed_Avg : WEEK2_HrsBed_Avg,11.0,0.1741431302176989
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_HrsAsleep_Avg : WEEK2_HrsAsleep_Avg,18.0,0.7206168929939794
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_HrsBed_Weekday_avg : WEEK2_HrsBed_Weekday_avg,16.0,0.5203168005073666
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_HrsAsleep_Weekday_avg : WEEK2_HrsAsleep_Weekday_avg,16.0,0.5203168005073666
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_HrsBed_Weekend_avg : WEEK2_HrsBed_Weekend_avg,12.0,0.22463863892378044
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_HrsAsleep_Weekend_avg : WEEK2_HrsAsleep_Weekend_avg,17.5,0.6678058142504256
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_TODAY_STRESSFUL : WEEK2_TODAY_STRESSFUL,16.0,0.5191666354565412
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_M_STRESS : WEEK2_M_STRESS,13.5,0.31530799154577205
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_M_CONTROL : WEEK2_M_CONTROL,13.5,0.3029360733233496
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_M_SUCCESS_COPING : WEEK2_M_SUCCESS_COPING,25.5,0.5671762440874444
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_A1_STRESS : WEEK2_A1_STRESS,7.0,0.053126452741142687
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_A1_CONTROL : WEEK2_A1_CONTROL,8.0,0.07176339507063363
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_A1_SUCCESS_COPING : WEEK2_A1_SUCCESS_COPING,14.5,0.38874716779068674
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_A2_STRESS : WEEK2_A2_STRESS,11.0,0.16876651651290842
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_A2_CONTROL : WEEK2_A2_CONTROL,12.0,0.21755336350798538
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_A2_SUCCESS_COPING : WEEK2_A2_SUCCESS_COPING,23.5,0.7720291580807652
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_E_STRESS : WEEK2_E_STRESS,13.0,0.2819848280938406
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_E_CONTROL : WEEK2_E_CONTROL,8.0,0.07374822099844837
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_E_SUCCESS_COPING : WEEK2_E_SUCCESS_COPING,16.0,0.5174259057068025
pre_Norm_post_High : pre_Norm_post_Low,D1_W2_Stress : D1_W2_Stress,22.0,0.9396502492637281
pre_Norm_post_High : pre_Norm_post_Low,D2_W2_Stress : D2_W2_Stress,15.5,0.4669852613467842
pre_Norm_post_High : pre_Norm_post_Low,D3_W2_Stress : D3_W2_Stress,16.5,0.5655656369543498
pre_Norm_post_High : pre_Norm_post_Low,D4_W2_Stress : D4_W2_Stress,16.5,0.5555115470131495
pre_Norm_post_High : pre_Norm_post_Low,D5_W2_Stress : D5_W2_Stress,2.5,0.009022881159370234
pre_Norm_post_High : pre_Norm_post_Low,D6_W2_Stress : D6_W2_Stress,9.5,0.11508030439717147
pre_Norm_post_High : pre_Norm_post_Low,D7_W2_Stress : D7_W2_Stress,10.5,0.15143104359341678
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_STRESS : WEEK2_STRESS,10.5,0.1525627236365771
pre_Norm_post_High : pre_Norm_post_Low,D1_W2_GaveSupport : D1_W2_GaveSupport,23.5,0.7428235581680842
pre_Norm_post_High : pre_Norm_post_Low,D2_W2_GaveSupport : D2_W2_GaveSupport,23.0,0.818945503075434
pre_Norm_post_High : pre_Norm_post_Low,D3_W2_GaveSupport : D3_W2_GaveSupport,13.0,0.2448784383493292
pre_Norm_post_High : pre_Norm_post_Low,D4_W2_GaveSupport : D4_W2_GaveSupport,7.0,0.04599076239754758
pre_Norm_post_High : pre_Norm_post_Low,D5_W2_GaveSupport : D5_W2_GaveSupport,20.0,0.9382056708951452
pre_Norm_post_High : pre_Norm_post_Low,D6_W2_GaveSupport : D6_W2_GaveSupport,15.5,0.4069032257172982
pre_Norm_post_High : pre_Norm_post_Low,D7_W2_GaveSupport : D7_W2_GaveSupport,18.0,0.6910784980647955
pre_Norm_post_High : pre_Norm_post_Low,D1_W2_ReceivedSupport : D1_W2_ReceivedSupport,21.0,0.9370778311073786
pre_Norm_post_High : pre_Norm_post_Low,D2_W2_ReceivedSupport : D2_W2_ReceivedSupport,27.0,0.40129797277729806
pre_Norm_post_High : pre_Norm_post_Low,D3_W2_ReceivedSupport : D3_W2_ReceivedSupport,13.0,0.2448784383493292
pre_Norm_post_High : pre_Norm_post_Low,D4_W2_ReceivedSupport : D4_W2_ReceivedSupport,10.0,0.11406692653884218
pre_Norm_post_High : pre_Norm_post_Low,D5_W2_ReceivedSupport : D5_W2_ReceivedSupport,26.0,0.477401279355365
pre_Norm_post_High : pre_Norm_post_Low,D6_W2_ReceivedSupport : D6_W2_ReceivedSupport,20.5,1.0
pre_Norm_post_High : pre_Norm_post_Low,D7_W2_ReceivedSupport : D7_W2_ReceivedSupport,24.0,0.6783777911837441
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_GaveSupport : WEEK2_GaveSupport,9.0,0.0962020408864322
pre_Norm_post_High : pre_Norm_post_Low,WEEK2_ReceivedSupport : WEEK2_ReceivedSupport,14.5,0.3744405655319144
pre_Norm_post_High : pre_Norm_post_Low,WEEK3 : WEEK3,,
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_PRODUCTIVE : WEEK3_PRODUCTIVE,5.0,0.025564506216279086
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_BELONGING : WEEK3_BELONGING,19.5,0.8862477072704644
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_DISCRIMINATION : WEEK3_DISCRIMINATION,24.0,0.4404006981390032
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_EMO_DRAINED : WEEK3_EMO_DRAINED,22.0,0.9426621794621336
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_TALKSTRESS : WEEK3_TALKSTRESS,24.0,0.7191303344515194
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_LITTLESLEEP : WEEK3_LITTLESLEEP,13.0,0.2813174531206373
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_PROFCARES : WEEK3_PROFCARES,18.5,0.7747957407506022
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_HOMESICK : WEEK3_HOMESICK,19.5,0.8859351886918853
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_EXERCISE : WEEK3_EXERCISE,11.0,0.16876651651290842
pre_Norm_post_High : pre_Norm_post_Low,EMA_MORNING : EMA_MORNING,,
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_ACTIVITY_ACADEMIC : WEEK3_ACTIVITY_ACADEMIC,12.0,0.2015163692415881
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_ACADEMIC_percentage : WEEK3_ACADEMIC_percentage,14.0,0.3287100420434994
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_ACTIVITY_PERSONAL : WEEK3_ACTIVITY_PERSONAL,21.5,1.0
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_PERSONAL_percentage : WEEK3_PERSONAL_percentage,20.5,1.0
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_TIRED_AM : WEEK3_TIRED_AM,22.5,0.8862477072704644
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_DRINK : WEEK3_DRINK,19.0,0.8143117131381201
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_DRUGS : WEEK3_DRUGS,21.0,0.9095832753762846
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_drinkdrugs_alone : WEEK3_drinkdrugs_alone,18.0,0.4404006981390032
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_negative_cons : WEEK3_negative_cons,21.0,0.9095832753762846
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_SLEEP : WEEK3_SLEEP,,
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_HrsBed_avg : WEEK3_HrsBed_avg,17.5,0.6678058142504256
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_HrsAsleep_avg : WEEK3_HrsAsleep_avg,15.5,0.4744429004370553
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_HrsBed_Weekday_avg : WEEK3_HrsBed_Weekday_avg,23.0,0.8303242576557953
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_HrsAsleep_Weekday_avg : WEEK3_HrsAsleep_Weekday_avg,22.0,0.9430566709670429
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_HrsBed_Weekend_avg : WEEK3_HrsBed_Weekend_avg,14.0,0.35045045689099685
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_HrsAsleep_Weekend_avg : WEEK3_HrsAsleep_Weekend_avg,12.5,0.2524452516545861
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_TODAY_STRESSFUL : WEEK3_TODAY_STRESSFUL,28.5,0.3139637483729446
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_M_STRESS : WEEK3_M_STRESS,15.5,0.47383319059283024
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_M_CONTROL : WEEK3_M_CONTROL,17.0,0.6161041960459699
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_M_SUCCESS_COPING : WEEK3_M_SUCCESS_COPING,16.0,0.5191666354565412
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_A1_STRESS : WEEK3_A1_STRESS,23.0,0.8298633355720766
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_A1_CONTROL : WEEK3_A1_CONTROL,24.0,0.7209848619016708
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_A1_SUCCESS_COPING : WEEK3_A1_SUCCESS_COPING,13.0,0.2806483711164639
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_A2_STRESS : WEEK3_A2_STRESS,19.0,0.8289301102803344
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_A2_CONTROL : WEEK3_A2_CONTROL,15.0,0.43203489200500755
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_A2_SUCCESS_COPING : WEEK3_A2_SUCCESS_COPING,14.0,0.3524489752286811
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_E_STRESS : WEEK3_E_STRESS,28.0,0.35311123450600557
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_E_CONTROL : WEEK3_E_CONTROL,23.0,0.8303242576557953
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_E_SUCCESS_COPING : WEEK3_E_SUCCESS_COPING,10.0,0.13254585342192138
pre_Norm_post_High : pre_Norm_post_Low,D1_W3_Stress : D1_W3_Stress,26.5,0.4732213827598669
pre_Norm_post_High : pre_Norm_post_Low,D2_W3_Stress : D2_W3_Stress,26.0,0.5168414848569456
pre_Norm_post_High : pre_Norm_post_Low,D3_W3_Stress : D3_W3_Stress,21.0,0.9428998536978346
pre_Norm_post_High : pre_Norm_post_Low,D4_W3_Stress : D4_W3_Stress,17.0,0.6141401394114379
pre_Norm_post_High : pre_Norm_post_Low,D5_W3_Stress : D5_W3_Stress,21.0,0.9426621794621336
pre_Norm_post_High : pre_Norm_post_Low,D6_W3_Stress : D6_W3_Stress,20.0,0.9428998536978346
pre_Norm_post_High : pre_Norm_post_Low,D7_W3_Stress : D7_W3_Stress,17.5,0.6660717114166914
pre_Norm_post_High : pre_Norm_post_Low,WEEK3_STRESS : WEEK3_STRESS,25.0,0.6170750774519738
pre_Norm_post_High : pre_Norm_post_Low,D1_W3_GaveSupport : D1_W3_GaveSupport,9.5,0.06959625797640909
pre_Norm_post_High : pre_Norm_post_Low,D2_W3_GaveSupport : D2_W3_GaveSupport,21.0,0.9359970601826555
pre_Norm_post_High : pre_Norm_post_Low,D3_W3_GaveSupport : D3_W3_GaveSupport,22.0,0.9397429895770734
pre_Norm_post_High : pre_Norm_post_Low,D4_W3_GaveSupport : D4_W3_GaveSupport,24.0,0.7054569861112734
pre_Norm_post_High : pre_Norm_post_Low,D5_W3_GaveSupport : D5_W3_GaveSupport,13.5,0.2690710808584813
pre_Norm_post_High : pre_Norm_post_Low,D6_W3_GaveSupport : D6_W3_GaveSupport,20.0,0.93770059195896
pre_Norm_post_High : pre_Norm_post_Low,D7_W3_GaveSupport : D7_W3_GaveSupport,23.5,0.7428235581680842
pre_Norm_post_High : pre_Norm_post_Low,D1_W3_ReceivedSupport : D1_W3_ReceivedSupport,22.0,0.9290127047257105
pre_Norm_post_High : pre_Norm_post_Low,D2_W3_ReceivedSupport : D2_W3_ReceivedSupport,27.0,0.37706226524893216
pre_Norm_post_High : pre_Norm_post_Low,D3_W3_ReceivedSupport : D3_W3_ReceivedSupport,24.0,0.7092694932930664
pre_Norm_post_High : pre_Norm_post_Low,D4_W3_ReceivedSupport : D4_W3_ReceivedSupport,22.0,0.938005117433123
pre_Norm_post_High : pre_Norm_post_Low,D5_W3_ReceivedSupport : D5_W3_ReceivedSupport,19.0,0.8127890729511125
pre_Norm_post_High : pre_Norm_post_Low,D6_W3_ReceivedSupport : D6_W3_ReceivedSupport,22.5,0.8787129555533155
